num,id,content
1,**00201,企业应当在药品采购、储存、销售、运输等环节采取有效的质量控制措施，确保药品质量，并按照国家有关要求建立药品追溯系统，实现药品可追溯。
2,**00401,药品经营企业应当依法经营。
3,**00402,药品经营企业应当坚持诚实守信，禁止任何虚假、欺骗行为。
4,*00501,企业应当依据有关法律法规及《药品经营质量管理规范》（以下简称《规范》）的要求建立质量管理体系。
5,00502,企业应当确定质量方针。
6,00503,企业应当制定质量管理体系文件，开展质量策划、质量控制、质量保证、质量改进和质量风险管理等活动。
7,*00601,企业制定的质量方针文件应当明确企业总的质量目标和要求，并贯彻到药品经营活动的全过程。
8,*00701,"企业质量管理体系应当与其经营范围和规模相适应,包括组织机构、人员、设施设备、质量管理体系文件及相应的计算机系统等。"
9,*00801,企业应当定期开展质量管理体系内审。
10,*00802,企业应当在质量管理体系关键要素发生重大变化时，组织开展内审。
11,*00901,企业应当对内审的情况进行分析，依据分析结论制定相应的质量管理体系改进措施，不断提高质量控制水平，保证质量管理体系持续有效运行。
12,01001,企业应当采用前瞻或者回顾的方式，对药品流通过程中的质量风险进行评估、控制、沟通和审核。
13,01101,企业应当对药品供货单位、购货单位的质量管理体系进行评价，确认其质量保证能力和质量信誉，必要时进行实地考察。
14,*01201,企业应当全员参与质量管理，各部门、岗位人员应当正确理解并履行职责，承担相应的质量责任。
15,*01301,企业应当设立与其经营活动和质量管理相适应的组织机构或者岗位。
16,*01302,企业应当明确规定各组织机构或者岗位的职责、权限及相互关系。
17,*01401,企业负责人是药品质量的主要责任人，全面负责企业日常管理，负责提供必要的条件，保证质量管理部门和质量管理人员有效履行职责，确保企业实现质量目标并按照《规范》要求经营药品。
18,*01501,企业质量负责人应当由企业高层管理人员担任，全面负责药品质量管理工作，独立履行职责，在企业内部对药品质量管理具有裁决权。
19,*01601,企业应当设立质量管理部门，有效开展质量管理工作。
20,*01602,企业质量管理部门的职责不得由其他部门及人员履行。
21,1701,质量管理部门应当督促相关部门和岗位人员执行药品管理的法律法规及《规范》的要求。
22,1702,质量管理部门应当组织制订质量管理体系文件，并指导、监督文件的执行。
23,*01703,质量管理部门应当负责对供货单位和购货单位的合法性、购进药品的合法性以及供货单位销售人员、购货单位采购人员的合法资格进行审核，并根据审核内容的变化进行动态管理。
24,1704,质量管理部门应当负责质量信息的收集和管理，并建立药品质量档案。
25,*01705,质量管理部门应当负责药品的验收，指导并监督药品采购、储存、养护、销售、退货、运输等环节的质量管理工作。
26,*01706,质量管理部门应当负责不合格药品的确认，对不合格药品的处理过程实施监督。
27,1707,质量管理部门应当负责药品质量投诉和质量事故的调查、处理及报告。
28,1708,质量管理部门应当负责假劣药品的报告。
29,1709,质量管理部门应当负责药品质量查询。
30,*01710,质量管理部门应当负责指导设定计算机系统质量控制功能，负责计算机系统操作权限的审核和质量管理基础数据的建立及更新。
31,*01711,质量管理部门应当组织验证、校准相关设施设备。
32,1712,质量管理部门应当负责药品召回的管理。
33,1713,质量管理部门应当负责药品不良反应的报告。
34,*01714,质量管理部门应当组织质量管理体系的内审和风险评估。
35,1715,质量管理部门应当组织对药品供货单位及购货单位质量管理体系和服务质量的考察和评价。
36,*01716,质量管理部门应当组织对被委托运输的承运方运输条件和质量保障能力的审查。
37,1717,质量管理部门应当协助开展质量管理教育和培训。
38,1718,质量管理部门应当承担其他应当由质量管理部门履行的职责。
39,1801,企业从事药品经营和质量管理工作的人员，应当符合有关法律法规及《规范》规定的资格要求，不得有相关法律法规禁止从业的情形。
40,*01901,企业负责人应当具有大学专科以上学历或者中级以上专业技术职称；应当经过基本的药学专业知识培训，熟悉有关药品管理的法律法规及《规范》。
41,*02001,企业质量负责人应当具有大学本科以上学历、执业药师资格和3年以上药品经营质量管理工作经历，在质量管理工作中具备正确判断和保障实施的能力。
42,*02101,企业质量管理部门负责人应当具有执业药师资格和3年以上药品经营质量管理工作经历，能独立解决经营过程中的质量问题。
43,2201,企业应当配备符合相关资格要求的质量管理、验收及养护等岗位人员。
44,*02202,从事质量管理工作的，应当具有药学中专或者医学、生物、化学等相关专业大学专科以上学历或者具有药学初级以上专业技术职称。
45,*02203,从事验收工作的，应当具有药学或者医学、生物、化学等相关专业中专以上学历或者具有药学初级以上专业技术职称。
46,2204,从事养护工作的，应当具有药学或者医学、生物、化学等相关专业中专以上学历或者具有药学初级以上专业技术职称。
47,*02205,从事中药材、中药饮片验收工作的，应当具有中药学专业中专以上学历或者具有中药学中级以上专业技术职称。
48,2206,从事中药材、中药饮片养护工作的，应当具有中药学专业中专以上学历或者具有中药学初级以上专业技术职称。
49,2207,直接收购地产中药材的，验收人员应当具有中药学中级以上专业技术职称。
